year,month,n_gc,n_sp_1m,n_sp_1y,z_gc_1m_adj_sum,z_gc_1m_adj_kilian,z_gc_1m_adj_kilianfix,z_gc_1m_raw_sum,z_gc_1m_raw_kilian,z_gc_1m_raw_kilianfix,z_gc_3m_sum,z_gc_3m_kilian,z_gc_3m_kilianfix,z_gc_1y_sum,z_gc_1y_kilian,z_gc_1y_kilianfix,z_sp_1m_adj_sum,z_sp_1m_adj_kilian,z_sp_1m_adj_kilianfix,z_sp_1m_raw_sum,z_sp_1m_raw_kilian,z_sp_1m_raw_kilianfix,z_sp_3m_sum,z_sp_3m_kilian,z_sp_3m_kilianfix,z_sp_1y_sum,z_sp_1y_kilian,z_sp_1y_kilianfix,z_gcs_1m_adj_sum,z_gcs_1m_adj_kilian,z_gcs_1m_adj_kilianfix,z_gcs_1m_raw_sum,z_gcs_1m_raw_kilian,z_gcs_1m_raw_kilianfix,z_gcs_3m_sum,z_gcs_3m_kilian,z_gcs_3m_kilianfix,z_gcs_1y_sum,z_gcs_1y_kilian,z_gcs_1y_kilianfix,z_gc_1m_adj_jk_sum,z_gc_1m_adj_jk_kilian,z_gc_1m_adj_jk_kilianfix,z_gc_1m_adj_info_sum,z_gc_1m_adj_info_kilian,z_gc_1m_adj_info_kilianfix,z_gc_1y_jk_sum,z_gc_1y_jk_kilian,z_gc_1y_jk_kilianfix,z_gc_1y_info_sum,z_gc_1y_info_kilian,z_gc_1y_info_kilianfix,z_gc_path1y_sum,z_gc_path1y_kilian,z_gc_path1y_kilianfix
2000,9,1,3,4,0.000000,-7.108696,-7.510870,0.000000,-7.108696,-7.510870,-0.500000,-5.372671,-5.631470,-2.000000,-4.081988,-4.238923,-1.942308,-1.424908,-1.332418,-1.000000,-0.809524,-0.761905,0.000000,-0.119048,-0.119048,-0.825000,-1.080952,-1.041667,-1.942308,-8.533604,-8.843287,-1.000000,-7.918219,-8.272774,-0.500000,-5.491718,-5.750518,-2.825000,-5.162940,-5.280590,0.000000,-6.934783,-7.250000,0.000000,-0.173913,-0.260870,-2.000000,-3.821118,-3.847619,0.000000,-0.260870,-0.391304,0.000000,2.253688,2.296995
2000,10,2,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.500000,5.399351,5.080087,5.500000,3.665584,3.320346,0.000000,-0.517399,-0.609890,0.000000,-0.190476,-0.238095,0.000000,0.119048,0.119048,0.000000,0.255952,0.216667,0.000000,-0.517399,-0.609890,0.000000,-0.190476,-0.238095,6.500000,5.518398,5.199134,5.500000,3.921537,3.537013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,3.461039,3.138528,0.500000,0.204545,0.181818,0.000000,0.000000,0.000000
2000,11,3,3,5,-1.000000,-0.045455,0.000000,-1.000000,-0.045455,0.000000,-2.750000,-0.147727,0.272727,-1.150000,0.788636,1.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.400000,-1.163636,-1.100000,0.350000,0.734091,0.718182,-1.000000,-0.045455,0.000000,-1.000000,-0.045455,0.000000,-4.150000,-1.311364,-0.827273,-0.800000,1.522727,1.809091,0.000000,0.000000,0.000000,-1.000000,-0.045455,0.000000,-1.000000,0.181818,0.454545,-0.150000,0.606818,0.636364,0.282364,0.012835,0.000000
2000,12,1,1,1,0.000000,-0.954545,-1.000000,0.000000,-0.954545,-1.000000,0.200000,-1.601623,-1.736147,2.500000,0.467208,0.295887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,-0.036364,-0.109524,1.500000,1.115909,1.060390,0.000000,-0.954545,-1.000000,0.000000,-0.954545,-1.000000,0.400000,-1.637987,-1.845671,4.000000,1.583117,1.356277,0.000000,0.000000,0.000000,0.000000,-0.954545,-1.000000,0.000000,-0.500000,-0.545455,2.500000,0.967208,0.841342,0.000000,0.269529,0.282364
2001,1,2,4,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.350000,1.107453,1.058282,1.100000,0.810559,0.881781,2.430556,0.640097,0.534420,2.000000,0.543478,0.456522,3.900000,0.852174,0.692133,1.250000,-0.145652,-0.128571,2.430556,0.640097,0.534420,2.000000,0.543478,0.456522,5.250000,1.959627,1.750414,2.350000,0.664907,0.753209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.800000,1.217391,1.095652,-1.700000,-0.406832,-0.213872,1.221600,-0.181565,-0.234678
2001,2,2,3,5,0.500000,0.250000,0.225000,0.500000,0.250000,0.225000,2.200000,1.678261,1.626957,0.800000,1.660870,1.668696,-1.250000,1.540459,1.708635,-1.000000,1.256522,1.393478,-1.800000,2.577826,2.837391,0.050000,1.510652,1.562500,-0.750000,1.790459,1.933635,-0.500000,1.506522,1.618478,0.400000,4.256087,4.464348,0.850000,3.171522,3.231196,0.000000,0.000000,0.000000,0.500000,0.250000,0.225000,-0.200000,1.382609,1.514348,1.000000,0.278261,0.154348,0.700018,1.753174,1.771287
2001,3,3,3,3,6.500000,3.795455,3.525000,6.500000,3.795455,3.525000,6.300000,3.604545,3.428182,7.050000,6.050000,5.769545,10.000000,1.272727,0.755682,9.000000,1.245455,0.786364,1.400000,-0.875455,-1.029091,2.000000,1.389545,1.301136,16.500000,5.068182,4.280682,15.500000,5.040909,4.311364,7.700000,2.729091,2.399091,9.050000,7.439545,7.070682,6.000000,3.272727,3.000000,0.500000,0.522727,0.525000,6.250000,5.113636,4.819545,0.800000,0.936364,0.950000,2.542238,3.441230,3.360674
2001,4,2,1,2,16.000000,13.621212,13.154762,16.000000,13.621212,13.154762,13.000000,12.212121,11.879437,13.000000,10.952381,10.653788,-0.652174,7.137211,7.622812,-0.500000,6.502165,6.935065,-0.500000,0.493074,0.580519,2.700000,2.988312,2.950649,15.347826,20.758423,20.777574,15.500000,20.123377,20.089827,12.500000,12.705195,12.459957,15.700000,13.940693,13.604437,0.000000,2.727273,3.000000,16.000000,10.893939,10.154762,-1.500000,0.922078,1.277597,14.500000,10.030303,9.376190,3.015785,1.461540,1.433488
2001,5,2,2,6,-16.500000,-6.731884,-5.252588,-16.500000,-6.731884,-5.252588,-19.750000,-9.405797,-7.928054,-18.000000,-8.582816,-7.181159,0.000000,-0.062112,-0.093168,0.000000,-0.047619,-0.071429,-1.300000,-0.673706,-0.640994,-0.600000,0.561491,0.716149,-16.500000,-6.793996,-5.345756,-16.500000,-6.779503,-5.324017,-21.050000,-10.079503,-8.569048,-18.600000,-8.021325,-6.465010,-16.500000,-12.065217,-11.347826,0.000000,5.333333,6.095238,-17.000000,-13.111801,-12.444099,-1.000000,4.528986,5.262940,-5.972603,-2.358553,-1.955266
2001,6,2,3,6,10.000000,1.041408,-0.152174,10.000000,1.041408,-0.152174,5.750000,-2.784679,-3.917184,2.000000,-4.869565,-5.747412,-0.597826,0.002588,0.031056,-0.500000,0.000000,0.023810,-1.500000,-0.769151,-0.754244,10.300000,1.224224,0.707660,9.402174,1.043996,-0.121118,9.500000,1.041408,-0.128364,4.250000,-3.553830,-4.671429,12.300000,-3.645342,-5.039752,4.500000,-0.791925,-1.723602,5.500000,1.833333,1.571429,0.700000,-4.607246,-5.379710,1.300000,-0.262319,-0.367702,-5.094034,-5.490721,-5.507827
2001,7,2,5,5,3.500000,7.091991,7.409091,3.500000,7.091991,7.409091,5.400000,5.641991,5.670346,5.400000,4.004545,3.854329,-21.915266,-21.629030,-20.661350,-20.500000,-20.159091,-19.251082,-4.150000,-5.107035,-4.989827,5.550000,13.912338,14.150541,-18.415266,-14.537039,-13.252259,-17.000000,-13.067100,-11.841991,1.250000,0.534957,0.680519,10.950000,17.916883,18.004870,2.500000,3.016234,3.116883,1.000000,4.075758,4.292208,1.750000,1.644697,1.598485,3.650000,2.359848,2.255844,2.996128,-0.983280,-1.362041
2001,8,2,2,2,9.500000,7.844862,7.590909,9.500000,7.844862,7.590909,0.250000,6.216601,6.451186,0.250000,7.851976,8.086561,1.875000,-0.723607,-1.801277,1.000000,-0.753953,-1.729249,-1.000000,-0.534684,-0.679842,-1.000000,-0.277866,0.017885,11.375000,7.121255,5.789632,10.500000,7.090909,5.861660,-0.750000,5.681917,5.771344,-0.750000,7.574111,8.104447,9.500000,7.253953,6.954545,0.000000,0.590909,0.636364,6.250000,6.216897,6.024704,-6.000000,1.635079,2.061858,-6.483253,2.299073,2.717141
2001,9,3,6,6,2.500000,2.936957,3.225000,2.500000,2.936957,3.225000,-3.400000,-5.024783,-4.843913,0.525000,-4.341522,-4.356902,-2.649425,0.548163,0.762156,-2.000000,0.063043,0.206522,8.000000,3.386957,2.943478,6.825000,3.673207,3.288478,-0.149425,3.485120,3.987156,0.500000,3.000000,3.431522,4.600000,-1.637826,-1.900435,7.350000,-0.668315,-1.068424,1.500000,2.336957,2.675000,1.000000,0.600000,0.550000,-1.125000,-0.290761,0.037228,1.650000,-4.050761,-4.394130,-1.096508,-6.329606,-6.556661
2001,10,2,9,10,10.750000,7.639130,7.296739,10.750000,7.639130,7.296739,6.150000,1.385652,0.948261,5.150000,4.160000,3.962337,-5.296176,-6.789807,-6.692010,-4.750000,-5.639130,-5.532609,-0.600000,3.373913,3.800000,2.087500,2.826250,3.076739,5.453824,0.849323,0.604729,6.000000,2.000000,1.764130,5.550000,4.759565,4.748261,7.237500,6.986250,7.039076,3.500000,2.510870,2.433696,7.250000,5.128261,4.863043,0.000000,-0.562500,-0.618750,5.150000,4.722500,4.581087,-2.485207,-1.189808,-1.136581
