year,month,mps_gc_1y,mps_gc_3m,mps_gc_jk,mps_gc_info,mps_all_1y,mps_all_tgt,n_gc,n_speech
2011,10,11.075000,10.916667,11.075000,0.000000,13.840476,11.071650,1,14
2011,11,-7.410000,-10.971429,-7.410000,0.000000,-4.508889,-13.890934,1,13
2011,12,-1.042857,-1.057143,0.000000,-1.042857,0.044643,2.959487,1,4
2012,1,-0.455556,-0.164286,0.000000,-0.455556,-1.574127,-0.166387,1,4
2012,2,0.444444,0.280000,0.000000,0.444444,0.167658,0.350000,1,2
2012,3,-0.311111,-0.233333,0.000000,-0.311111,-0.827182,1.075000,1,5
2012,4,0.710000,0.100000,0.710000,0.000000,0.444523,0.499720,1,9
2012,5,1.462500,0.860000,1.462500,0.000000,2.515953,1.222727,1,7
2012,6,3.157143,1.100000,3.157143,0.000000,3.153413,4.138725,1,8
2012,7,-7.328571,-8.757143,0.000000,-7.328571,-8.410714,-8.098743,1,8
2012,8,2.425000,2.128571,2.425000,0.000000,2.039286,3.237500,1,1
2012,9,0.133333,0.366667,0.000000,0.133333,-1.422143,0.298214,1,5
2012,10,-0.114286,0.275000,0.000000,-0.114286,-0.644524,-0.012912,1,10
2012,11,1.011111,0.725000,1.011111,0.000000,0.520159,1.131349,1,13
2012,12,-1.957143,-0.700000,0.000000,-1.957143,-3.815060,-0.232963,1,9
2013,1,2.562500,1.100000,0.000000,2.562500,2.095635,0.495801,1,8
2013,2,-2.285714,-0.975000,0.000000,-2.285714,-3.519742,-3.195461,1,12
2013,3,2.325000,0.633333,2.325000,0.000000,3.751190,1.445055,1,7
2013,4,-0.685714,0.100000,0.000000,-0.685714,0.640953,-0.153416,1,12
2013,5,-1.928571,-0.250000,-1.928571,0.000000,-3.270594,-0.523941,1,15
2013,6,3.183333,0.750000,3.183333,0.000000,2.945713,1.775434,1,10
2013,7,-2.916667,-0.957143,-2.916667,0.000000,-1.873809,-0.133333,1,8
2013,8,2.166667,0.150000,0.000000,2.166667,2.469524,0.200000,1,3
2013,9,-0.614286,-0.133333,-0.614286,0.000000,-0.369286,-1.843732,1,17
2013,10,0.000000,-0.133333,0.000000,0.000000,0.741666,1.034483,1,5
2013,11,-2.500000,-0.450000,-2.500000,0.000000,-1.208572,1.222736,1,13
2013,12,1.400000,0.940000,1.400000,0.000000,2.394286,3.239423,1,8
2014,1,-0.862500,-0.300000,0.000000,-0.862500,0.148928,2.754762,1,5
2014,2,3.185714,2.785714,0.000000,3.185714,3.122144,0.707978,1,9
2014,3,2.625000,3.333333,2.625000,0.000000,2.426905,3.272619,1,7
2014,4,1.380000,1.471429,0.000000,1.380000,2.023333,3.709441,1,8
2014,5,-2.200000,0.400000,-2.200000,0.000000,-2.226666,-0.377812,1,10
2014,6,0.450000,-2.466667,0.000000,0.450000,-0.256667,-8.859242,1,8
2014,7,-0.500000,-0.450000,-0.500000,0.000000,-0.600000,-0.200000,1,1
2014,8,0.233333,0.150000,0.000000,0.233333,0.233333,0.050000,1,0
2014,9,-4.400000,-5.366667,-4.400000,0.000000,-5.266667,-5.784401,1,10
2014,10,0.200000,0.000000,0.200000,0.000000,-0.083334,0.500000,1,8
2014,11,-0.300000,-0.066667,-0.300000,0.000000,-0.467500,-7.721981,1,16
2014,12,0.783333,0.300000,0.783333,0.000000,0.883333,-0.925491,1,1
2015,1,-1.451667,-0.343333,-1.451667,0.000000,-1.411667,-0.145000,1,1
2015,2,0.000000,0.000000,0.000000,0.000000,-0.040000,0.309524,0,3
2015,3,-0.100000,-1.200000,0.000000,-0.100000,-0.923583,-8.001905,1,8
2015,4,0.247500,-0.718750,0.000000,0.247500,-0.104000,-18.744828,1,5
2015,5,0.000000,0.000000,0.000000,0.000000,-0.155333,2.781112,0,4
2015,6,0.485000,-0.011667,0.485000,0.000000,0.883000,0.643245,1,6
2015,7,0.000000,-0.100000,0.000000,0.000000,-0.060000,0.000000,1,1
2015,8,0.000000,0.000000,0.000000,0.000000,-0.030833,0.261194,0,3
2015,9,-0.285000,0.000000,-0.285000,0.000000,-0.154750,0.054156,1,8
2015,10,-3.310000,-1.122500,-3.310000,0.000000,-2.459833,1.082325,1,9
2015,11,0.000000,0.000000,0.000000,0.000000,0.860445,0.356636,0,24
2015,12,10.100000,6.754000,10.100000,0.000000,10.512404,4.237480,1,4
2016,1,-3.703000,-1.525000,-3.703000,0.000000,-2.909250,2.138808,1,6
2016,2,0.000000,0.000000,0.000000,0.000000,-0.950500,-0.231636,0,5
2016,3,5.991667,2.823000,0.000000,5.991667,6.560953,2.678567,1,5
2016,4,0.226667,0.025000,0.226667,0.000000,0.308334,-0.495857,1,7
2016,5,0.000000,0.000000,0.000000,0.000000,0.386667,0.024655,0,8
2016,6,-0.190000,-0.030000,0.000000,-0.190000,-0.181250,-1.634463,1,12
2016,7,-0.131250,0.000000,-0.131250,0.000000,-0.040250,0.052500,1,3
2016,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2016,9,1.379167,0.656667,1.379167,0.000000,1.208334,0.840996,1,9
2016,10,-0.197500,0.110000,-0.197500,0.000000,-1.262583,-0.176804,1,7
2016,11,0.000000,0.000000,0.000000,0.000000,-0.439750,0.062261,0,11
2016,12,-0.082500,0.085000,-0.082500,0.000000,-0.185500,-0.213751,1,3
2017,1,-0.055000,-0.075000,-0.055000,0.000000,-0.027917,-1.307077,1,11
2017,2,0.000000,0.000000,0.000000,0.000000,0.727083,-3.537375,0,7
2017,3,0.445000,-0.020000,0.000000,0.445000,-0.134833,-0.733895,1,10
