equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
stoxx,mps,1,41,0.423832,1.00000,1.00000,69.2517,51.4764,48.8424,0.74332,0.70529
stoxx,i1y,0,41,0.423832,1.55313,1.48411,16.8083,16.5792,16.6502,0.98637,0.99059
stoxx,ip,0,41,0.423832,1.84741,1.94869,3.80841,3.41356,3.35013,0.89632,0.87967
stoxx,hicp,0,41,0.423832,0.34060,0.10394,8.81495,9.16179,9.39167,1.03935,1.06542
stoxx,stoxx,0,41,0.423832,1.54993,1.56778,0.439804,0.417342,0.416193,0.94893,0.94631
mps,mps,1,42,0.400616,1.00000,1.00000,0.0832363,0.091743,0.0940497,1.10220,1.12991
mps,i1y,0,42,0.400616,0.51935,0.02133,0.479533,0.479917,0.480224,1.00080,1.00144
mps,ip,0,42,0.400616,0.47052,0.04250,0.0146906,0.0147924,0.0148802,1.00693,1.01291
mps,hicp,0,42,0.400616,0.28461,0.02549,0.0416536,0.0437062,0.044111,1.04928,1.05900
mps,stoxx,0,42,0.400616,0.27411,0.04641,0.00445222,0.0045468,0.0045659,1.02124,1.02553
i1y,mps,1,42,0.400616,1.00000,1.00000,2.69842,2.82525,2.77804,1.04700,1.02950
i1y,i1y,0,42,0.400616,1.74428,1.94800,2.41323,2.37616,2.37074,0.98464,0.98239
i1y,ip,0,42,0.400616,2.21478,2.35736,0.128925,0.116565,0.114296,0.90413,0.88653
i1y,hicp,0,42,0.400616,0.62756,0.60214,0.222245,0.231461,0.2329,1.04147,1.04794
i1y,stoxx,0,42,0.400616,1.39920,1.43037,0.0249827,0.0240467,0.0239329,0.96253,0.95798
ip,mps,1,42,0.400616,1.00000,1.00000,20.4331,15.243,16.0764,0.74600,0.78678
ip,i1y,0,42,0.400616,0.83427,0.99273,9.63518,9.59946,9.58097,0.99629,0.99437
ip,ip,0,42,0.400616,1.87717,1.83249,1.09971,1.03928,1.04702,0.94504,0.95209
ip,hicp,0,42,0.400616,0.80398,0.60019,3.31734,3.31543,3.46069,0.99942,1.04321
ip,stoxx,0,42,0.400616,1.05787,0.91207,0.160203,0.158258,0.160358,0.98786,1.00097
hicp,mps,1,42,0.400616,1.00000,1.00000,3.4782,2.23727,1.90142,0.64323,0.54667
hicp,i1y,0,42,0.400616,3.82751,4.17282,2.08924,1.95101,1.93802,0.93384,0.92762
hicp,ip,0,42,0.400616,4.30737,4.73930,0.240118,0.135036,0.120304,0.56237,0.50102
hicp,hicp,0,42,0.400616,3.25894,3.46230,0.760332,0.432876,0.412094,0.56932,0.54199
hicp,stoxx,0,42,0.400616,1.14930,1.28088,0.0273871,0.0263208,0.0260347,0.96106,0.95062
stoxx,mps,1,42,0.400616,1.00000,1.00000,60.0622,46.0056,44.3306,0.76597,0.73808
stoxx,i1y,0,42,0.400616,1.56964,1.51730,17.0863,16.8495,16.9356,0.98614,0.99118
stoxx,ip,0,42,0.400616,1.70714,1.79007,3.91855,3.59699,3.55973,0.91794,0.90843
stoxx,hicp,0,42,0.400616,0.30137,0.09912,8.65912,8.97736,9.1608,1.03675,1.05794
stoxx,stoxx,0,42,0.400616,1.62741,1.58094,0.537597,0.513082,0.512386,0.95440,0.95311
mps,mps,1,43,0.39024,1.00000,1.00000,0.142862,0.14834,0.149443,1.03834,1.04606
mps,i1y,0,43,0.39024,0.30849,0.02241,0.47603,0.476556,0.476674,1.00110,1.00135
mps,ip,0,43,0.39024,0.29081,0.04292,0.0173086,0.0175058,0.0175464,1.01139,1.01374
mps,hicp,0,43,0.39024,0.34604,0.02599,0.0684954,0.0713192,0.0721243,1.04123,1.05298
mps,stoxx,0,43,0.39024,0.35179,0.04922,0.00284168,0.00294724,0.00298615,1.03714,1.05084
i1y,mps,1,43,0.39024,1.00000,1.00000,2.98313,2.99944,2.93422,1.00547,0.98360
i1y,i1y,0,43,0.39024,1.76738,1.97439,2.06573,2.02789,2.02242,0.98168,0.97903
i1y,ip,0,43,0.39024,2.30090,2.38722,0.147542,0.132933,0.130959,0.90098,0.88761
i1y,hicp,0,43,0.39024,0.66803,0.62336,0.392703,0.397277,0.400942,1.01165,1.02098
i1y,stoxx,0,43,0.39024,1.42003,1.47976,0.0287866,0.0280146,0.0279223,0.97318,0.96998
ip,mps,1,43,0.39024,1.00000,1.00000,21.9325,15.6938,16.3607,0.71555,0.74596
ip,i1y,0,43,0.39024,0.86612,0.88928,5.88833,5.83297,5.83879,0.99060,0.99159
ip,ip,0,43,0.39024,1.87168,1.93322,1.0589,0.991662,0.986389,0.93651,0.93153
ip,hicp,0,43,0.39024,0.70873,0.67296,4.17537,4.22422,4.25989,1.01170,1.02024
ip,stoxx,0,43,0.39024,1.11324,0.98397,0.187963,0.18567,0.186541,0.98781,0.99244
hicp,mps,1,43,0.39024,1.00000,1.00000,3.24192,1.9834,1.49078,0.61180,0.45985
hicp,i1y,0,43,0.39024,3.71072,4.15151,1.09299,0.887967,0.863165,0.81242,0.78973
hicp,ip,0,43,0.39024,4.34713,4.84847,0.264187,0.167984,0.151713,0.63585,0.57426
hicp,hicp,0,43,0.39024,3.45643,3.55167,0.695433,0.371778,0.352316,0.53460,0.50661
hicp,stoxx,0,43,0.39024,1.11241,1.44889,0.03401,0.0330145,0.0319624,0.97073,0.93980
stoxx,mps,1,43,0.39024,1.00000,1.00000,56.1042,47.4507,45.0985,0.84576,0.80383
stoxx,i1y,0,43,0.39024,1.78544,1.56552,35.71,35.3421,35.5027,0.98970,0.99419
stoxx,ip,0,43,0.39024,1.47870,1.64653,3.67368,3.51878,3.46998,0.95783,0.94455
stoxx,hicp,0,43,0.39024,0.27442,0.09603,11.8411,12.1836,12.3272,1.02893,1.04105
