Date_time,Event_type,Days_until_next_GC,Non_regular_trading_day,Outside_regular_trading_hours,OIS_1M,OIS_2M,OIS_3M,OIS_6M,OIS_1Y,OIS_2Y,STOXX50E
2000-01-05 13:45:00,GC_ME,0,0,0,0.500000,0.000000,0.000000,0.000000,-3.500000,-3.250000,-0.564633
2000-01-05 13:45:00,GC_PR,0,0,0,1.500000,0.000000,1.500000,0.500000,0.000000,1.250000,-0.323052
2000-01-05 14:30:00,GC_PC,0,0,0,-1.000000,0.000000,1.500000,,-3.000000,-4.000000,0.207234
2000-01-08 11:30:00,EB,12,1,0,,,,,,,
2000-01-10 15:00:00,EB,10,0,0,0.500000,-1.500000,0.000000,-0.500000,0.000000,-1.250000,0.121625
2000-01-13 19:30:00,EB,7,0,1,,,,,,,
2000-01-20 13:45:00,GC_ME,0,0,0,-1.500000,-1.250000,-1.500000,-1.500000,-1.000000,-1.250000,-0.065866
2000-01-20 13:45:00,GC_PR,0,0,0,0.250000,-1.000000,-2.666667,-0.000000,-0.000000,0.500000,0.020701
2000-01-20 14:30:00,GC_PC,0,0,0,-1.666667,-0.750000,-1.500000,-1.250000,-1.000000,-1.750000,-0.084669
2000-01-21 10:00:00,EB,13,0,0,0.500000,1.000000,9.500000,1.000000,-0.500000,0.500000,0.487797
2000-01-26 17:00:00,EB,8,0,0,3.000000,0.000000,-9.000000,-2.000000,0.500000,0.500000,
2000-02-03 13:45:00,GC_ME,0,0,0,-0.500000,-2.333333,-3.000000,-2.250000,4.500000,0.500000,1.522833
2000-02-03 13:45:00,GC_PR,0,0,0,-0.500000,-2.333333,-3.000000,-2.250000,-2.500000,-2.833333,0.771342
2000-02-03 14:30:00,GC_PC,0,0,0,0.750000,0.500000,-1.666667,-0.125000,4.000000,1.875000,0.294358
2000-02-08 18:30:00,EB,9,0,1,,,,,,,
2000-02-10 17:30:00,EB,7,0,1,,,9.000000,0.500000,0.500000,0.500000,
2000-02-17 13:45:00,GC_ME,0,0,0,0.500000,0.000000,0.000000,0.000000,1.000000,-0.500000,1.028482
2000-02-17 13:45:00,GC_PR,0,0,0,-1.000000,0.500000,0.000000,0.000000,-0.500000,0.000000,0.133213
2000-02-17 14:30:00,GC_PC,0,0,0,1.000000,0.000000,0.500000,0.000000,0.000000,-0.250000,0.908292
2000-02-24 20:05:00,EB,7,0,1,,,,,,,
2000-03-02 13:45:00,GC_ME,0,0,0,-3.500000,-4.000000,-3.750000,-2.000000,-2.000000,-1.000000,0.382479
2000-03-02 13:45:00,GC_PR,0,0,0,-4.666667,-3.000000,-2.500000,-2.500000,-2.000000,-1.000000,0.256960
2000-03-02 14:30:00,GC_PC,0,0,0,2.000000,-0.250000,-0.250000,0.000000,-1.000000,-1.000000,0.165472
2000-03-08 10:00:00,EB,8,0,0,0.000000,-2.000000,0.500000,1.000000,-0.500000,1.000000,0.029684
2000-03-08 17:45:00,EB,8,0,1,,-1.000000,-1.000000,-0.500000,-1.500000,-0.500000,
2000-03-16 13:45:00,GC_ME,0,0,0,,,-2.000000,-3.500000,-2.500000,-3.000000,1.016956
2000-03-16 13:45:00,GC_PR,0,0,0,,-3.000000,-3.000000,-2.666667,-2.500000,-2.500000,0.025458
2000-03-16 14:30:00,GC_PC,0,0,0,0.500000,-1.000000,0.250000,-1.000000,-1.250000,-0.750000,0.855062
2000-03-17 13:30:00,EB,13,0,0,-1.000000,,0.000000,0.500000,0.000000,0.500000,-0.544916
2000-03-17 18:00:00,EB,13,0,1,,,,,,,
2000-03-20 15:00:00,P,10,0,0,-0.500000,0.000000,0.500000,0.000000,-0.500000,0.000000,-0.199191
2000-03-23 13:15:00,EB,7,0,0,,,0.000000,1.000000,0.500000,1.000000,0.497651
2000-03-23 14:45:00,EB,7,0,0,0.000000,0.500000,0.000000,0.000000,1.000000,1.000000,-0.440367
2000-03-30 13:45:00,GC_ME,0,0,0,-1.500000,-2.500000,-1.000000,-0.500000,-0.500000,-0.500000,0.354340
2000-03-30 13:45:00,GC_PR,0,0,0,-1.000000,-2.000000,-1.000000,-0.500000,-0.500000,-1.000000,-0.121656
2000-03-30 14:30:00,GC_PC,0,0,0,-0.500000,-0.500000,0.000000,0.500000,0.500000,1.250000,0.461304
2000-04-05 08:10:00,EB,8,0,1,0.000000,-6.000000,0.000000,2.500000,3.000000,0.500000,
2000-04-07 18:15:00,EB,6,0,1,,,,,,0.000000,
2000-04-13 13:45:00,GC_ME,0,0,0,-2.000000,-2.250000,-2.000000,-0.500000,0.000000,0.500000,-0.610132
2000-04-13 13:45:00,GC_PR,0,0,0,-1.500000,-2.250000,-1.000000,-1.250000,0.000000,0.000000,0.013318
2000-04-13 14:30:00,GC_PC,0,0,0,0.750000,1.000000,-2.500000,1.000000,2.250000,-0.250000,-0.781151
2000-04-17 15:00:00,EB,10,0,0,0.000000,,,0.000000,1.500000,1.500000,0.510865
2000-04-27 13:45:00,GC_ME,0,0,0,9.250000,2.500000,17.300000,1.500000,0.500000,0.500000,-2.103196
2000-04-27 13:45:00,GC_PR,0,0,0,-0.500000,-0.500000,1.000000,1.500000,1.500000,1.000000,0.000952
2000-04-27 14:30:00,GC_PC,0,0,0,10.250000,2.000000,15.300000,-0.000000,-1.000000,-0.500000,-2.151432
2000-04-29 11:00:00,EB,12,1,0,,,,,,,
2000-05-03 11:00:00,EB,8,0,0,-5.800000,-17.800000,0.000000,-1.000000,0.500000,0.000000,0.378895
2000-05-05 09:45:00,EB,6,0,0,-15.800000,-13.300000,-3.000000,-1.650000,11.000000,-1.500000,-0.177413
2000-05-11 13:45:00,GC_ME,0,0,0,,-0.000000,1.000000,1.250000,2.200000,3.750000,1.845779
2000-05-11 13:45:00,GC_PR,0,0,0,,-2.200000,-0.750000,-0.700000,-0.300000,0.000000,0.081536
2000-05-11 14:30:00,GC_PC,0,0,0,1.000000,0.600000,1.000000,1.500000,1.500000,3.500000,1.371170
2000-05-12 09:00:00,EB,13,0,1,2.000000,0.566667,1.500000,1.800000,3.000000,0.000000,
2000-05-12 16:00:00,P,13,0,0,-0.500000,-0.250000,0.000000,-1.300000,-1.500000,-0.500000,0.048185
2000-05-22 14:30:00,P,3,0,0,0.500000,0.500000,0.000000,-0.500000,0.500000,1.000000,-0.239011
2000-05-25 13:45:00,GC_ME,0,0,0,-2.500000,-3.000000,-2.500000,-1.000000,0.300000,0.500000,0.613973
2000-05-25 13:45:00,GC_PR,0,0,0,-2.500000,-2.000000,-1.500000,0.000000,0.000000,-0.500000,0.160436
2000-05-25 14:30:00,GC_PC,0,0,0,-1.000000,0.000000,-1.000000,-2.000000,-0.700000,-1.000000,0.464032
2000-05-30 10:15:00,P,9,0,0,0.500000,0.500000,1.000000,0.500000,1.500000,,0.230495
2000-06-05 15:00:00,EB,3,0,0,1.000000,2.500000,,0.500000,1.700000,2.500000,0.192650
