dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
correct,pooled,3,1,2,0.3582995022,0.3117137368,0.042625
correct,pooled,3,1,3,0.3669812358,0.3210521127,0.0515
correct,pooled,3,1,4,0.387064479,0.341552865,0.06875
correct,pooled,3,1,5,0.413854156,0.367818414,0.0919375
correct,pooled,3,1,6,0.4440758693,0.3945119032,0.119875
correct,pooled,3,1,7,0.4769584459,0.4212442913,0.1449375
correct,pooled,3,1,8,0.5046410702,0.448035415,0.1678125
correct,pooled,3,1,9,0.5309673064,0.4608676294,0.1846875
correct,pooled,3,1,10,0.5526285603,0.4761213315,0.193625
correct,pooled,3,1,11,0.5704513469,0.4867141392,0.1998125
correct,pooled,3,1,12,0.5889761354,0.4903277666,0.206125
correct,pooled,3,2,1,0.2784720243,0.2310832002,0.0191875
correct,pooled,3,2,2,0.2654036122,0.2232980056,0.0151875
correct,pooled,3,2,3,0.2636821778,0.2227017205,0.01625
correct,pooled,3,2,4,0.2670306367,0.2274550925,0.0209375
correct,pooled,3,2,5,0.2730494598,0.2327849345,0.026125
correct,pooled,3,2,6,0.2839833362,0.2438444211,0.0350625
correct,pooled,3,2,7,0.296436195,0.2556521259,0.043625
correct,pooled,3,2,8,0.3122975727,0.269368301,0.056375
correct,pooled,3,2,9,0.3324732827,0.2842721912,0.0744375
correct,pooled,3,2,10,0.356170139,0.3050500916,0.0943125
correct,pooled,3,2,11,0.3791327538,0.3191530098,0.10825
correct,pooled,3,2,12,0.3963005072,0.3189671938,0.1148125
correct,pooled,3,3,1,0.3109289037,0.2630443899,0.0323125
correct,pooled,3,3,2,0.2988027058,0.25683242,0.028625
correct,pooled,3,3,3,0.2972820218,0.2577186488,0.031875
correct,pooled,3,3,4,0.3016098368,0.2621077348,0.0356875
correct,pooled,3,3,5,0.3125780023,0.2734687405,0.0428125
correct,pooled,3,3,6,0.3262376981,0.2840733468,0.058125
correct,pooled,3,3,7,0.3407307912,0.2951853893,0.0696875
correct,pooled,3,3,8,0.3493329477,0.3022718388,0.07875
correct,pooled,3,3,9,0.3571316122,0.3059661179,0.08325
correct,pooled,3,3,10,0.3601368226,0.3071493322,0.085875
correct,pooled,3,3,11,0.3666159001,0.3082494625,0.0899375
correct,pooled,3,3,12,0.3759258516,0.3076974778,0.0929375
