dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
intermediate,pooled,2,1,1,0.8660596618,0.8041635852,0.325125
intermediate,pooled,2,1,2,0.905895334,0.851414054,0.3685625
intermediate,pooled,2,1,3,0.9382055521,0.886056693,0.4094375
intermediate,pooled,2,1,4,0.9613410252,0.912554645,0.436875
intermediate,pooled,2,1,5,0.9689733801,0.9178127954,0.43675
intermediate,pooled,2,1,6,0.9600630838,0.9125903057,0.4193125
intermediate,pooled,2,1,7,0.936773979,0.8893339308,0.3925625
intermediate,pooled,2,1,8,0.9045329006,0.85509789,0.354875
intermediate,pooled,2,1,9,0.8710583521,0.8273392209,0.327
intermediate,pooled,2,1,10,0.8530080146,0.8029920235,0.3083125
intermediate,pooled,2,1,11,0.8432744184,0.7805571029,0.30775
intermediate,pooled,2,1,12,0.8525816679,0.7750457168,0.311875
intermediate,pooled,2,2,1,0.3190374977,0.2716050054,0.031125
intermediate,pooled,2,2,2,0.3075742072,0.2653652277,0.028
intermediate,pooled,2,2,3,0.3074134454,0.268510095,0.027125
intermediate,pooled,2,2,4,0.3136826828,0.2773327698,0.034
intermediate,pooled,2,2,5,0.3224095788,0.2839280284,0.040625
intermediate,pooled,2,2,6,0.3402509287,0.2983438211,0.0546875
intermediate,pooled,2,2,7,0.3588814787,0.3148250823,0.0749375
intermediate,pooled,2,2,8,0.377146315,0.3321058215,0.091
intermediate,pooled,2,2,9,0.3935788043,0.3442810953,0.1016875
intermediate,pooled,2,2,10,0.4107900563,0.3565575506,0.1101875
intermediate,pooled,2,2,11,0.4232756215,0.3615469492,0.116375
intermediate,pooled,2,2,12,0.4374797883,0.363001791,0.124625
intermediate,pooled,2,3,1,0.2862008609,0.2447244331,0.0239375
intermediate,pooled,2,3,2,0.2726805257,0.238228552,0.016625
intermediate,pooled,2,3,3,0.2715765722,0.2406733973,0.0178125
intermediate,pooled,2,3,4,0.280040524,0.2501841022,0.0224375
intermediate,pooled,2,3,5,0.2954823319,0.263331116,0.0355
intermediate,pooled,2,3,6,0.314300804,0.2809412857,0.049
intermediate,pooled,2,3,7,0.3340150707,0.3029648261,0.0645625
intermediate,pooled,2,3,8,0.3540895047,0.3209366086,0.0810625
intermediate,pooled,2,3,9,0.381075722,0.3428819834,0.1021875
intermediate,pooled,2,3,10,0.4069496968,0.3643250479,0.1214375
intermediate,pooled,2,3,11,0.429611167,0.3799731752,0.1365625
intermediate,pooled,2,3,12,0.4490130139,0.3843171006,0.1458125
intermediate,pooled,3,1,1,1.3265481,1.239379083,0.67975
intermediate,pooled,3,1,2,1.455262663,1.375480335,0.7825625
intermediate,pooled,3,1,3,1.471583055,1.391934389,0.8023125
intermediate,pooled,3,1,4,1.462984791,1.384643982,0.8031875
intermediate,pooled,3,1,5,1.41261155,1.339369479,0.778125
intermediate,pooled,3,1,6,1.324350611,1.259749793,0.7115
intermediate,pooled,3,1,7,1.227502437,1.16720812,0.6358125
intermediate,pooled,3,1,8,1.149093186,1.094720445,0.5663125
intermediate,pooled,3,1,9,1.083824163,1.026556213,0.511625
intermediate,pooled,3,1,10,1.042844106,0.9833496821,0.4716875
intermediate,pooled,3,1,11,1.021799518,0.9565370183,0.455
intermediate,pooled,3,1,12,1.029108124,0.9434892069,0.4435625
intermediate,pooled,3,2,1,0.3426540276,0.297230928,0.0321875
intermediate,pooled,3,2,2,0.3310158213,0.2927455081,0.02725
intermediate,pooled,3,2,3,0.3326541553,0.2934923694,0.03
intermediate,pooled,3,2,4,0.3390865227,0.3018636579,0.0360625
intermediate,pooled,3,2,5,0.3545108273,0.3158793721,0.0470625
intermediate,pooled,3,2,6,0.37540361,0.3355246532,0.065625
intermediate,pooled,3,2,7,0.3995597389,0.354390958,0.085125
intermediate,pooled,3,2,8,0.4229157247,0.3747950784,0.101125
intermediate,pooled,3,2,9,0.4433411932,0.3895742489,0.1198125
intermediate,pooled,3,2,10,0.4605697768,0.3990186478,0.13475
intermediate,pooled,3,2,11,0.4741011444,0.4067531512,0.1403125
intermediate,pooled,3,2,12,0.4842834316,0.4025204193,0.1441875
intermediate,pooled,3,3,1,0.3407334094,0.2959234096,0.0265
intermediate,pooled,3,3,2,0.3307613513,0.2930842587,0.0243125
intermediate,pooled,3,3,3,0.3311646664,0.2960480549,0.0255
intermediate,pooled,3,3,4,0.3432144194,0.3080090131,0.0321875
intermediate,pooled,3,3,5,0.3651092991,0.3285591764,0.04875
intermediate,pooled,3,3,6,0.3963279029,0.358919982,0.073625
intermediate,pooled,3,3,7,0.4378522676,0.3970964514,0.105875
intermediate,pooled,3,3,8,0.4856011104,0.437607843,0.143125
intermediate,pooled,3,3,9,0.5268993782,0.4750555049,0.1731875
intermediate,pooled,3,3,10,0.5635796726,0.5028451063,0.192
intermediate,pooled,3,3,11,0.5947246471,0.5282101838,0.21025
intermediate,pooled,3,3,12,0.6214500792,0.5414766409,0.2194375
