instrument,F_eff,variable,h,theta,se,lo,hi,ar_lo,ar_hi,ar_unbounded,theta_la,lo_la,hi_la
z_gcs_1m_adj_sum,18.970,ip,16,8.088599,6.315895,-2.300123,18.477322,-1.385243,19.773005,0,9.181195,0.004001,18.358389
z_gcs_1m_adj_sum,18.970,ip,17,12.656392,6.632630,1.746686,23.566098,2.707446,24.926758,0,13.522546,3.494321,23.550771
z_gcs_1m_adj_sum,18.970,ip,18,14.970470,8.140312,1.580848,28.360092,2.352986,29.623032,0,15.316333,4.690903,25.941764
z_gcs_1m_adj_sum,18.970,ip,19,14.602067,8.364431,0.843801,28.360332,1.218977,29.239822,0,14.900539,4.468063,25.333014
z_gcs_1m_adj_sum,18.970,ip,20,16.471068,8.759827,2.062434,30.879702,2.893336,32.238757,0,16.121358,4.541617,27.701098
z_gcs_1m_adj_sum,18.970,ip,21,12.419553,7.960200,-0.673810,25.512917,-0.316767,26.349903,0,12.084606,1.694506,22.474706
z_gcs_1m_adj_sum,18.970,ip,22,13.072933,7.119704,1.362062,24.783804,2.037392,25.532415,0,12.607518,2.050027,23.165008
z_gcs_1m_adj_sum,18.970,ip,23,15.103765,6.726155,4.040226,26.167305,4.678226,26.874536,0,14.210070,3.281474,25.138665
z_gcs_1m_adj_sum,18.970,ip,24,10.169822,5.624225,0.918795,19.420849,1.171062,20.012216,0,9.575133,0.328127,18.822139
z_gcs_1m_adj_sum,18.970,ip,25,9.536193,5.287682,0.838730,18.233655,0.811517,18.525252,0,9.270305,-0.355549,18.896159
z_gcs_1m_adj_sum,18.970,ip,26,10.138824,5.722014,0.726949,19.550699,0.697501,19.580147,0,9.690429,-0.641009,20.021868
z_gcs_1m_adj_sum,18.970,ip,27,9.692932,5.129666,1.255382,18.130482,0.972500,17.900398,0,9.909534,-0.241981,20.061049
z_gcs_1m_adj_sum,18.970,ip,28,9.144066,4.505637,1.732953,16.555178,1.484484,16.353084,0,9.575255,-0.656210,19.806720
z_gcs_1m_adj_sum,18.970,ip,29,8.029114,5.272679,-0.643670,16.701899,-1.461707,16.201766,0,8.479721,-2.476685,19.436127
z_gcs_1m_adj_sum,18.970,ip,30,8.540690,4.190453,1.648007,15.433372,0.997874,14.826370,0,9.173333,-0.918694,19.265360
z_gcs_1m_adj_sum,18.970,ip,31,9.317887,4.599425,1.752506,16.883268,1.268893,16.446996,0,9.948108,-0.580357,20.476573
z_gcs_1m_adj_sum,18.970,ip,32,6.826361,4.980347,-1.365581,15.018303,-2.138264,14.296882,0,8.015348,-2.691143,18.721839
z_gcs_1m_adj_sum,18.970,ip,33,3.364731,5.592269,-5.833733,12.563195,-6.980966,11.753135,0,4.763723,-5.739034,15.266480
z_gcs_1m_adj_sum,18.970,ip,34,6.744691,5.313755,-1.995658,15.485040,-3.085755,14.715323,0,8.379222,-2.611717,19.370160
z_gcs_1m_adj_sum,18.970,ip,35,4.105597,5.517920,-4.970573,13.181768,-6.102554,12.382477,0,6.049090,-4.645574,16.743754
z_gcs_1m_adj_sum,18.970,ip,36,1.521041,5.216173,-7.058800,10.100881,-8.128879,9.345300,0,3.800952,-6.526474,14.128378
z_gcs_1m_adj_sum,18.970,ip,37,4.372833,4.737060,-3.418937,12.164602,-4.390727,11.478422,0,6.284812,-4.196460,16.766084
z_gcs_1m_adj_sum,18.970,ip,38,-1.229661,5.350161,-10.029893,7.570570,-11.394967,6.528072,0,0.902009,-9.176085,10.980103
z_gcs_1m_adj_sum,18.970,ip,39,0.767897,4.796751,-7.122057,8.657851,-8.106093,7.723186,0,2.412859,-8.020625,12.846342
z_gcs_1m_adj_sum,18.970,ip,40,-0.132739,4.828949,-8.075652,7.810175,-9.066293,7.110684,0,2.137236,-7.929206,12.203678
z_gcs_1m_adj_sum,18.970,ip,41,-0.603213,4.286104,-7.653228,6.446801,-8.532507,5.611638,0,2.159776,-8.298992,12.618543
z_gcs_1m_adj_sum,18.970,ip,42,-2.743748,4.378103,-9.945087,4.457591,-10.843239,3.823407,0,-0.371601,-10.251294,9.508093
z_gcs_1m_adj_sum,18.970,ip,43,-2.083118,3.683995,-8.142751,3.976514,-8.898509,3.258675,0,-0.164634,-9.900512,9.571244
z_gcs_1m_adj_sum,18.970,ip,44,-2.448628,4.247093,-9.434473,4.537218,-10.305749,3.709656,0,0.015357,-9.633930,9.664643
z_gcs_1m_adj_sum,18.970,ip,45,-3.845773,3.614865,-9.791696,2.100150,-10.533273,1.395781,0,-0.661751,-10.104885,8.781383
z_gcs_1m_adj_sum,18.970,ip,46,-2.249548,2.430574,-6.247487,1.748392,-6.259995,1.760900,0,-0.618077,-10.259669,9.023516
z_gcs_1m_adj_sum,18.970,ip,47,-5.761757,3.067886,-10.807980,-0.715534,-11.283952,-1.159928,0,-3.336839,-13.259621,6.585943
z_gcs_1m_adj_sum,18.970,ip,48,-3.773040,2.746301,-8.290303,0.744224,-8.441752,0.621042,0,-0.746219,-10.326898,8.834461
z_gcs_1m_adj_sum,18.970,hicp_yoy,0,0.555013,0.440174,-0.169010,1.279035,-0.105249,1.457371,0,0.615305,-0.026963,1.257574
z_gcs_1m_adj_sum,18.970,hicp_yoy,1,0.535179,0.666733,-0.561500,1.631858,-0.564931,1.735299,0,0.572140,-0.432636,1.576915
z_gcs_1m_adj_sum,18.970,hicp_yoy,2,0.884339,0.861073,-0.531999,2.300678,-0.536431,2.391217,0,0.827163,-0.395020,2.049346
z_gcs_1m_adj_sum,18.970,hicp_yoy,3,0.769916,0.904338,-0.717588,2.257420,-0.677025,2.352508,0,0.749502,-0.585138,2.084143
z_gcs_1m_adj_sum,18.970,hicp_yoy,4,0.790370,0.954732,-0.780025,2.360765,-0.689465,2.556625,0,0.837009,-0.638701,2.312719
z_gcs_1m_adj_sum,18.970,hicp_yoy,5,0.543440,1.004952,-1.109560,2.196439,-1.064484,2.352354,0,0.606982,-0.931857,2.145821
z_gcs_1m_adj_sum,18.970,hicp_yoy,6,0.323843,1.111007,-1.503601,2.151288,-1.564869,2.212556,0,0.472963,-1.387147,2.333074
z_gcs_1m_adj_sum,18.970,hicp_yoy,7,-0.221532,1.160285,-2.130032,1.686967,-2.194018,1.750953,0,0.028915,-1.986243,2.044073
z_gcs_1m_adj_sum,18.970,hicp_yoy,8,-0.994442,1.184596,-2.942930,0.954045,-3.008256,0.960142,0,-0.745831,-2.831698,1.340036
z_gcs_1m_adj_sum,18.970,hicp_yoy,9,-1.145695,1.367392,-3.394854,1.103464,-3.470261,1.110501,0,-0.925529,-3.197030,1.345972
z_gcs_1m_adj_sum,18.970,hicp_yoy,10,-1.197736,1.496048,-3.658515,1.263044,-3.741017,1.270743,0,-1.061302,-3.372656,1.250053
z_gcs_1m_adj_sum,18.970,hicp_yoy,11,-1.187932,1.568146,-3.767302,1.391439,-3.775372,1.477916,0,-1.011524,-3.443457,1.420409
z_gcs_1m_adj_sum,18.970,hicp_yoy,12,-0.742361,1.550708,-3.293048,1.808326,-3.223494,1.971377,0,-0.482037,-2.867502,1.903428
z_gcs_1m_adj_sum,18.970,hicp_yoy,13,-0.705944,1.581399,-3.307113,1.895225,-3.236182,2.140574,0,-0.454848,-2.798463,1.888766
z_gcs_1m_adj_sum,18.970,hicp_yoy,14,-0.612789,1.436915,-2.976303,1.750726,-2.840007,2.045504,0,-0.238687,-2.514982,2.037607
z_gcs_1m_adj_sum,18.970,hicp_yoy,15,0.105276,1.372134,-2.151684,2.362235,-1.952925,2.643723,0,0.472058,-1.692736,2.636851
z_gcs_1m_adj_sum,18.970,hicp_yoy,16,0.481288,1.317498,-1.685804,2.648380,-1.494960,2.918660,0,0.844187,-1.221284,2.909658
