dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
dense,pooled,2,1,10,0.5131697011,0.4557784636,0.169875
dense,pooled,2,1,11,0.53875789,0.4718808468,0.18575
dense,pooled,2,1,12,0.5620957919,0.4800380637,0.195
dense,pooled,2,2,1,0.3296542584,0.2788678574,0.0466875
dense,pooled,2,2,2,0.320997517,0.2747488224,0.0425625
dense,pooled,2,2,3,0.324239171,0.2815230482,0.0498125
dense,pooled,2,2,4,0.3366050371,0.2956769558,0.066625
dense,pooled,2,2,5,0.3586040223,0.3153681714,0.0845625
dense,pooled,2,2,6,0.3840094487,0.3394343339,0.104375
dense,pooled,2,2,7,0.4070179855,0.363093025,0.12325
dense,pooled,2,2,8,0.4313729008,0.3848336204,0.139
dense,pooled,2,2,9,0.4531479833,0.4013874341,0.152875
dense,pooled,2,2,10,0.4706637993,0.411925266,0.1575
dense,pooled,2,2,11,0.4827025797,0.4204892127,0.15875
dense,pooled,2,2,12,0.4953706981,0.415663667,0.159875
dense,pooled,2,3,1,0.284041693,0.2327939389,0.0264375
dense,pooled,2,3,2,0.2719253113,0.2272710333,0.0230625
dense,pooled,2,3,3,0.2703839664,0.2293093018,0.0248125
dense,pooled,2,3,4,0.2753721984,0.2332015215,0.02775
dense,pooled,2,3,5,0.2864092853,0.2481247844,0.0339375
dense,pooled,2,3,6,0.3053319499,0.2605483311,0.044125
dense,pooled,2,3,7,0.329383674,0.2834337337,0.057875
dense,pooled,2,3,8,0.3581116924,0.3068925414,0.081875
dense,pooled,2,3,9,0.3923989761,0.3361452018,0.107625
dense,pooled,2,3,10,0.4210662032,0.3595346459,0.1295625
dense,pooled,2,3,11,0.4479394618,0.3759960802,0.1464375
dense,pooled,2,3,12,0.472334595,0.3832286218,0.152125
dense,pooled,3,1,1,0.4072662577,0.3579191526,0.0844375
dense,pooled,3,1,2,0.4034365111,0.3600432455,0.0885
dense,pooled,3,1,3,0.4217917503,0.3799141173,0.1055625
dense,pooled,3,1,4,0.4493482844,0.4090923186,0.1248125
dense,pooled,3,1,5,0.4857743317,0.4444720675,0.14675
dense,pooled,3,1,6,0.5275983899,0.4829400068,0.1721875
dense,pooled,3,1,7,0.57135838,0.5228661567,0.196375
dense,pooled,3,1,8,0.6128966641,0.5583059042,0.2243125
dense,pooled,3,1,9,0.6448377152,0.5899298927,0.252625
dense,pooled,3,1,10,0.6706717015,0.6106397773,0.2739375
dense,pooled,3,1,11,0.7019718302,0.6328489582,0.289
dense,pooled,3,1,12,0.7245457572,0.6374099701,0.2909375
dense,pooled,3,2,1,0.3404517711,0.290609399,0.0405625
dense,pooled,3,2,2,0.3325995413,0.2887225366,0.0394375
dense,pooled,3,2,3,0.3378865583,0.2968244534,0.04525
dense,pooled,3,2,4,0.3580952132,0.3192606489,0.063
dense,pooled,3,2,5,0.3854408333,0.3473674366,0.0898125
dense,pooled,3,2,6,0.4162054155,0.3755406586,0.11525
dense,pooled,3,2,7,0.4464298876,0.3995835368,0.141
dense,pooled,3,2,8,0.4760359836,0.42520479,0.16325
dense,pooled,3,2,9,0.5017825268,0.4460322808,0.179375
dense,pooled,3,2,10,0.520189588,0.4571522005,0.187
dense,pooled,3,2,11,0.5324929418,0.4652806217,0.1896875
dense,pooled,3,2,12,0.5507587877,0.4722578609,0.190125
dense,pooled,3,3,1,0.3329601561,0.2815989651,0.0324375
dense,pooled,3,3,2,0.3220891257,0.2772149536,0.0289375
dense,pooled,3,3,3,0.3210949105,0.2782188908,0.028625
dense,pooled,3,3,4,0.3256263249,0.2844867493,0.0315
dense,pooled,3,3,5,0.3378381899,0.2990826699,0.0403125
dense,pooled,3,3,6,0.3562655416,0.3135654103,0.0513125
dense,pooled,3,3,7,0.3795597133,0.3373131642,0.067625
dense,pooled,3,3,8,0.4156429312,0.3729330199,0.09575
dense,pooled,3,3,9,0.4595193878,0.4097592446,0.13475
dense,pooled,3,3,10,0.5056130838,0.4445179338,0.1636875
dense,pooled,3,3,11,0.5459679483,0.4752085961,0.184
dense,pooled,3,3,12,0.5675801003,0.4825945841,0.1940625
