dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
sparse,block,2,2,12,1.067118887,0.7745636691,0.3758857143,0.1196987699,0.4007812296,0.7745636691,1.347954151,2.912434081
sparse,block,2,2,13,1.063484976,0.7661691589,0.3725914286,0.1157131187,0.393794246,0.7661691589,1.343403353,2.922960323
sparse,block,2,2,14,1.069973956,0.7668881638,0.3717742857,0.1129693546,0.3935482208,0.7668881638,1.349694213,2.947070435
sparse,block,2,2,15,1.066133191,0.7635678177,0.3682514286,0.1103657992,0.3871837861,0.7635678177,1.348083515,2.946343033
sparse,block,2,2,16,1.074493754,0.7655519037,0.3736428571,0.1101722907,0.389056753,0.7655519037,1.359671513,2.987864103
sparse,block,2,2,17,1.082756995,0.7702620316,0.37558,0.1155340049,0.3917730684,0.7702620316,1.367113203,3.013220962
sparse,block,2,2,18,1.102612819,0.7844271543,0.3821571429,0.1174441394,0.3997417063,0.7844271543,1.392265998,3.056593118
sparse,block,2,2,19,1.121032236,0.8027737717,0.3891742857,0.1241350637,0.4123046539,0.8027737717,1.411217648,3.104852691
sparse,block,2,2,20,1.140456723,0.8185862961,0.3949771429,0.133653488,0.4279980493,0.8185862961,1.434867889,3.124392304
sparse,block,2,3,1,0.5596456226,0.3813133662,0.1448742857,0.04063546731,0.1747135454,0.3813133662,0.7193132526,1.627143318
sparse,block,2,3,2,0.5212768657,0.3549841034,0.1282028571,0.03913192457,0.1642357685,0.3549841034,0.6670099006,1.515242784
sparse,block,2,3,3,0.6334409369,0.441773368,0.1806085714,0.05106479806,0.2091511158,0.441773368,0.8104293174,1.803626422
sparse,block,2,3,4,0.6974173892,0.4938176596,0.2130114286,0.06127199429,0.241077127,0.4938176596,0.889915265,1.958301376
sparse,block,2,3,5,0.76868163,0.5539689252,0.2464,0.08167819353,0.283791229,0.5539689252,0.9741573561,2.104814506
sparse,block,2,3,6,0.8256386838,0.6035557955,0.2768714286,0.09537586797,0.3165220962,0.6035557955,1.044689565,2.231549816
sparse,block,2,3,7,0.891216933,0.6540890315,0.3063742857,0.1132250391,0.3509560053,0.6540890315,1.124805242,2.403038467
sparse,block,2,3,8,0.9315186237,0.6843338459,0.3232942857,0.1232165173,0.3700535074,0.6843338459,1.167975909,2.487507409
