equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
stoxx,mps,0,37,0.442336,0.04423,0.01391,82.1254,141.996,144.717,1.72902,1.76214
stoxx,i1y,0,37,0.442336,1.77871,1.70305,41.1506,40.3528,40.4509,0.98061,0.98300
stoxx,ip,0,37,0.442336,2.16616,2.11655,3.75178,3.36186,3.35597,0.89607,0.89450
stoxx,hicp,0,37,0.442336,0.29176,0.17056,5.7972,5.88296,5.96652,1.01479,1.02921
stoxx,stoxx,0,37,0.442336,1.38341,1.37075,0.690379,0.675009,0.675851,0.97774,0.97896
mps,mps,0,38,0.435726,0.12731,0.09145,0.154628,0.235812,0.25766,1.52503,1.66633
mps,i1y,0,38,0.435726,0.34453,0.03644,0.256825,0.258036,0.258403,1.00472,1.00615
mps,ip,0,38,0.435726,0.34408,0.05930,0.0116487,0.0119042,0.0119831,1.02194,1.02871
mps,hicp,0,38,0.435726,0.31216,0.00707,0.0485213,0.0526727,0.0536774,1.08556,1.10626
mps,stoxx,0,38,0.435726,0.42779,0.03157,0.00366553,0.00375734,0.00380114,1.02505,1.03699
i1y,mps,0,38,0.435726,0.04080,0.00339,2.83281,4.64572,4.79448,1.63997,1.69248
i1y,i1y,0,38,0.435726,1.71391,1.68043,2.34342,2.32497,2.32881,0.99213,0.99377
i1y,ip,0,38,0.435726,2.11083,2.24057,0.139189,0.122481,0.11998,0.87996,0.86199
i1y,hicp,0,38,0.435726,0.63496,0.54058,0.20102,0.213451,0.218519,1.06184,1.08705
i1y,stoxx,0,38,0.435726,1.32016,1.22948,0.0406648,0.0391486,0.0393721,0.96271,0.96821
ip,mps,0,38,0.435726,0.05034,0.00708,15.634,41.1544,42.3971,2.63237,2.71186
ip,i1y,0,38,0.435726,1.60997,1.62054,7.9679,7.68915,7.68141,0.96501,0.96404
ip,ip,0,38,0.435726,1.46404,1.39136,0.872493,0.888157,0.89213,1.01795,1.02251
ip,hicp,0,38,0.435726,0.42472,0.36121,1.85187,2.08026,2.12276,1.12333,1.14628
ip,stoxx,0,38,0.435726,0.56738,0.33214,0.14278,0.147517,0.149825,1.03318,1.04934
hicp,mps,0,38,0.435726,0.05658,0.00800,3.44435,4.49389,4.7189,1.30472,1.37004
hicp,i1y,0,38,0.435726,3.06872,3.30878,0.877303,0.731803,0.714904,0.83415,0.81489
hicp,ip,0,38,0.435726,4.45186,5.01774,0.258739,0.140255,0.124684,0.54207,0.48189
hicp,hicp,0,38,0.435726,3.26088,3.25327,0.863885,0.495547,0.473624,0.57363,0.54825
hicp,stoxx,0,38,0.435726,0.98769,1.06666,0.0291594,0.0294088,0.0293014,1.00855,1.00487
stoxx,mps,0,38,0.435726,0.04672,0.01426,92.053,147.229,150.099,1.59939,1.63058
stoxx,i1y,0,38,0.435726,1.61489,1.60835,30.9342,30.085,30.137,0.97255,0.97423
stoxx,ip,0,38,0.435726,2.15209,1.99979,4.069,3.69837,3.71911,0.90891,0.91401
stoxx,hicp,0,38,0.435726,0.35280,0.15372,5.89728,5.8806,6.03675,0.99717,1.02365
stoxx,stoxx,0,38,0.435726,1.38993,1.36575,0.56132,0.551773,0.553297,0.98299,0.98571
mps,mps,0,39,0.445805,0.09323,0.08426,0.165553,0.274113,0.279578,1.65574,1.68875
