dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
intermediate,block,2,3,15,1.115031786,0.7990637351,0.3900742857,0.1218957173,0.4143413052,0.7990637351,1.4080545,3.063863087
intermediate,block,2,3,16,1.129658994,0.813932796,0.3973942857,0.1288154213,0.4207668788,0.813932796,1.425675188,3.112305319
intermediate,block,2,3,17,1.165358092,0.8362215787,0.4097771429,0.1228463337,0.4328154397,0.8362215787,1.468597026,3.205447382
intermediate,block,2,3,18,1.178878364,0.8485566489,0.4139942857,0.1407798658,0.445722661,0.8485566489,1.483643802,3.226814762
intermediate,block,2,3,19,1.183217584,0.8460157787,0.4093485714,0.1368469083,0.4376205334,0.8460157787,1.491470458,3.258982662
intermediate,block,2,3,20,1.170836289,0.8313618414,0.4026914286,0.1269230198,0.4251593231,0.8313618414,1.472780411,3.273906055
intermediate,block,3,1,1,0.5750291142,0.3887920359,0.1531771429,0.04080866481,0.177375791,0.3887920359,0.7377507893,1.681329529
intermediate,block,3,1,2,2.334307083,1.881136298,0.8615028571,0.7839897372,1.320905229,1.881136298,2.746447433,5.252814092
intermediate,block,3,1,3,1.805195503,1.450312263,0.7503714286,0.6057893787,1.021826942,1.450312263,2.116865278,4.045724906
intermediate,block,3,1,4,1.886565001,1.512884746,0.7687028571,0.6513270764,1.069949359,1.512884746,2.211620593,4.236492289
intermediate,block,3,1,5,1.810756807,1.452739095,0.7366628571,0.594216413,1.011690701,1.452739095,2.135250487,4.097961936
intermediate,block,3,1,6,1.551974315,1.231428167,0.6200057143,0.4046754139,0.809756523,1.231428167,1.866555459,3.65289188
intermediate,block,3,1,7,1.297564561,1.001668794,0.4959771429,0.2666534157,0.6123403872,1.001668794,1.586806747,3.210226036
intermediate,block,3,1,8,1.12003753,0.8434447111,0.4097314286,0.1788923803,0.4808728975,0.8434447111,1.400723967,2.915155011
intermediate,block,3,1,9,0.9882736986,0.7271800546,0.3470457143,0.1267357274,0.3897566764,0.7271800546,1.243931298,2.647335931
intermediate,block,3,1,10,0.9547255434,0.6864704892,0.3288571429,0.1051997907,0.3570387441,0.6864704892,1.202218042,2.603124165
intermediate,block,3,1,11,0.9578795033,0.6884054015,0.3298228571,0.1052337997,0.3562740725,0.6884054015,1.209606586,2.636130031
intermediate,block,3,1,12,0.9795008416,0.7056269228,0.3384571429,0.1026133364,0.3627742378,0.7056269228,1.243811162,2.703818018
intermediate,block,3,1,13,1.014331807,0.737768648,0.3535714286,0.1125876127,0.3832286851,0.737768648,1.281582082,2.745889731
intermediate,block,3,1,14,1.039471964,0.7545861218,0.3645371429,0.1322909536,0.3999430557,0.7545861218,1.306700112,2.822639659
intermediate,block,3,1,15,1.065174082,0.7783288217,0.3742742857,0.138280994,0.4133654638,0.7783288217,1.341103881,2.886619614
intermediate,block,3,1,16,1.058775166,0.7648318698,0.36956,0.1306333968,0.4032852628,0.7648318698,1.331708056,2.904268005
intermediate,block,3,1,17,1.059656851,0.761909766,0.37124,0.1286712723,0.4020155975,0.761909766,1.326747018,2.891516384
intermediate,block,3,1,18,1.057554434,0.7620163008,0.3713657143,0.1192475712,0.3947050569,0.7620163008,1.33435239,2.905663942
intermediate,block,3,1,19,1.052175731,0.7543269115,0.3680914286,0.1120703481,0.3893406974,0.7543269115,1.332631006,2.902175223
