equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
i1y,i1y,0,34,0.463045,1.87026,1.92261,1.92436,1.89884,1.89527,0.98674,0.98488
i1y,ip,0,34,0.463045,2.86301,3.14976,0.20782,0.148643,0.136333,0.71525,0.65601
i1y,hicp,0,34,0.463045,0.53669,0.55781,0.319616,0.323023,0.320506,1.01066,1.00279
i1y,stoxx,0,34,0.463045,0.86250,1.26492,0.0346399,0.0343687,0.0327631,0.99217,0.94582
ip,mps,1,34,0.463045,1.00000,1.00000,9.52546,8.59804,8.42029,0.90264,0.88398
ip,i1y,0,34,0.463045,2.40652,2.60987,11.9773,11.5735,11.5147,0.96629,0.96138
ip,ip,0,34,0.463045,1.62209,1.76747,0.530897,0.457531,0.437615,0.86181,0.82429
ip,hicp,0,34,0.463045,0.27380,0.30615,1.09229,1.18664,1.18567,1.08638,1.08550
ip,stoxx,0,34,0.463045,0.56269,0.39877,0.149955,0.151306,0.153693,1.00900,1.02493
hicp,mps,1,34,0.463045,1.00000,1.00000,4.26307,1.73574,1.5504,0.40716,0.36368
hicp,i1y,0,34,0.463045,3.05396,3.61244,1.27022,1.15331,1.13659,0.90796,0.89480
hicp,ip,0,34,0.463045,6.00363,6.44421,0.275345,0.111178,0.101453,0.40378,0.36846
hicp,hicp,0,34,0.463045,3.77016,3.90589,0.578548,0.210353,0.201209,0.36359,0.34778
hicp,stoxx,0,34,0.463045,1.24832,1.32906,0.0230121,0.0210909,0.0209297,0.91651,0.90951
stoxx,mps,1,34,0.463045,1.00000,1.00000,60.4994,42.1903,40.6897,0.69737,0.67256
stoxx,i1y,0,34,0.463045,2.02974,2.28280,23.2546,22.0107,21.754,0.94651,0.93547
stoxx,ip,0,34,0.463045,2.62799,2.72065,2.53779,2.05599,2.02699,0.81015,0.79872
stoxx,hicp,0,34,0.463045,0.35735,0.15266,3.6195,3.42562,3.5436,0.94643,0.97903
stoxx,stoxx,0,34,0.463045,1.55269,1.57325,0.415844,0.38497,0.380812,0.92576,0.91576
mps,mps,1,35,0.435411,1.00000,1.00000,0.151344,0.153953,0.155994,1.01724,1.03073
mps,i1y,0,35,0.435411,0.30738,0.03778,0.355654,0.356471,0.356736,1.00230,1.00304
mps,ip,0,35,0.435411,0.35254,0.05568,0.0155128,0.0159234,0.0160449,1.02647,1.03430
mps,hicp,0,35,0.435411,0.35195,0.04030,0.0479302,0.0523744,0.053762,1.09272,1.12167
mps,stoxx,0,35,0.435411,0.52168,0.06585,0.00354946,0.00363669,0.00370673,1.02458,1.04431
i1y,mps,1,35,0.435411,1.00000,1.00000,5.33422,2.7309,2.53654,0.51196,0.47552
i1y,i1y,0,35,0.435411,1.95128,1.91607,1.9499,1.92425,1.92452,0.98685,0.98699
i1y,ip,0,35,0.435411,2.88484,2.98108,0.192281,0.141008,0.135427,0.73335,0.70432
i1y,hicp,0,35,0.435411,0.61295,0.55863,0.259258,0.260788,0.263978,1.00590,1.01820
i1y,stoxx,0,35,0.435411,1.07802,1.28706,0.0357569,0.0346262,0.0337373,0.96838,0.94352
ip,mps,1,35,0.435411,1.00000,1.00000,9.66249,9.75742,10.1407,1.00982,1.04949
ip,i1y,0,35,0.435411,2.28901,2.50018,10.4339,10.0067,9.94061,0.95905,0.95272
ip,ip,0,35,0.435411,1.70833,1.76906,0.621837,0.558015,0.545054,0.89737,0.87652
ip,hicp,0,35,0.435411,0.41009,0.31301,1.26284,1.40636,1.42638,1.11365,1.12950
ip,stoxx,0,35,0.435411,0.64732,0.44956,0.12882,0.129126,0.130991,1.00238,1.01685
hicp,mps,1,35,0.435411,1.00000,1.00000,4.61035,1.70247,1.6778,0.36927,0.36392
hicp,i1y,0,35,0.435411,2.62573,3.14984,0.698488,0.582709,0.561931,0.83424,0.80450
hicp,ip,0,35,0.435411,6.58016,6.83319,0.292552,0.106591,0.100839,0.36435,0.34469
hicp,hicp,0,35,0.435411,3.95417,3.98922,0.813704,0.356386,0.351525,0.43798,0.43201
hicp,stoxx,0,35,0.435411,1.59920,1.45995,0.0239326,0.0205225,0.0209851,0.85751,0.87684
stoxx,mps,1,35,0.435411,1.00000,1.00000,67.6512,46.711,44.5651,0.69047,0.65875
stoxx,i1y,0,35,0.435411,1.96249,2.13223,31.2788,30.3193,30.1627,0.96933,0.96432
stoxx,ip,0,35,0.435411,2.62094,2.83677,2.4376,1.93038,1.88515,0.79192,0.77336
stoxx,hicp,0,35,0.435411,0.35475,0.12280,2.34924,2.29384,2.49877,0.97642,1.06365
stoxx,stoxx,0,35,0.435411,1.61533,1.64912,0.359637,0.322764,0.317895,0.89747,0.88393
mps,mps,1,36,0.439602,1.00000,1.00000,0.151161,0.160555,0.162151,1.06215,1.07270
mps,i1y,0,36,0.439602,0.32254,0.03873,0.389163,0.389967,0.390252,1.00207,1.00280
mps,ip,0,36,0.439602,0.42605,0.05396,0.0143249,0.0146425,0.0147976,1.02217,1.03300
mps,hicp,0,36,0.439602,0.35552,0.03778,0.0496753,0.054282,0.0557522,1.09274,1.12233
