dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
dense,block,2,1,9,1.076711934,0.7757616687,0.3794571429,0.1354364445,0.4108215265,0.7757616687,1.348719439,2.936911905
dense,block,2,1,10,1.098635435,0.7948223432,0.3898857143,0.1336381366,0.4242564468,0.7948223432,1.377995447,3.001830832
dense,block,2,1,11,1.126362524,0.8062132975,0.3963542857,0.1368876792,0.4270508107,0.8062132975,1.409781437,3.091196387
dense,block,2,1,12,1.139079131,0.8122543594,0.3976857143,0.1313836774,0.4264517803,0.8122543594,1.425731058,3.149700211
dense,block,2,1,13,1.144566968,0.8182131909,0.3999885714,0.1364630826,0.4286164621,0.8182131909,1.434817782,3.160261316
dense,block,2,1,14,1.179312029,0.8408570206,0.4115028571,0.1480963901,0.446077984,0.8408570206,1.473363847,3.251008818
dense,block,2,1,15,1.2005807,0.8601093977,0.4194571429,0.157993937,0.4579744053,0.8601093977,1.497064437,3.285438755
dense,block,2,1,16,1.206117274,0.8603934874,0.4191314286,0.1510530151,0.4591867227,0.8603934874,1.502398799,3.320403091
dense,block,2,1,17,1.24545523,0.895351225,0.43664,0.1634447358,0.4836851627,0.895351225,1.554563714,3.376711022
dense,block,2,1,18,1.25761147,0.9042729414,0.4401942857,0.1739885929,0.494821406,0.9042729414,1.555215894,3.420764242
dense,block,2,1,19,1.269411486,0.916370874,0.4440457143,0.1769741309,0.5000268923,0.916370874,1.578135408,3.443610475
dense,block,2,1,20,1.263969648,0.9073061343,0.4391257143,0.1732773047,0.4963612698,0.9073061343,1.569411747,3.433994921
dense,block,2,2,1,0.5554072117,0.3694917088,0.1451771429,0.0372766712,0.1676433964,0.3694917088,0.7108109716,1.648083192
dense,block,2,2,2,0.6267827849,0.4214403465,0.1768342857,0.04304424748,0.1935063748,0.4214403465,0.7977211609,1.84239815
dense,block,2,2,3,0.7046678527,0.4802609618,0.2135771429,0.05064157591,0.222739829,0.4802609618,0.89640829,2.040172576
dense,block,2,2,4,0.7646837681,0.5284562018,0.2436628571,0.0578565718,0.2483876605,0.5284562018,0.9777958203,2.19986997
dense,block,2,2,5,0.8221135834,0.5733823746,0.2693714286,0.07188948289,0.2793440076,0.5733823746,1.044953011,2.328330768
dense,block,2,2,6,0.8811436874,0.6222025357,0.2980171429,0.0833128053,0.3072793443,0.6222025357,1.120613181,2.468833274
dense,block,2,2,7,0.9007085658,0.6360699368,0.3060742857,0.08877802285,0.3143003273,0.6360699368,1.14692544,2.522440812
dense,block,2,2,8,0.9727440751,0.6885940082,0.3336514286,0.09969387588,0.3487628227,0.6885940082,1.229113541,2.701825266
dense,block,2,2,9,1.028419712,0.7320460337,0.3562171429,0.1162921576,0.3756667172,0.7320460337,1.296792323,2.862420932
dense,block,2,2,10,1.088039805,0.77556753,0.3781085714,0.1153582049,0.4001418116,0.77556753,1.368880192,3.003677525
dense,block,2,2,11,1.105586397,0.7884445306,0.3831657143,0.1177583305,0.4038065643,0.7884445306,1.38879306,3.05842242
dense,block,2,2,12,1.137419915,0.812294573,0.3950342857,0.1260585987,0.4247467781,0.812294573,1.421229602,3.141815762
dense,block,2,2,13,1.14501834,0.8091771235,0.3959142857,0.1284073325,0.4208346096,0.8091771235,1.435569823,3.185402612
dense,block,2,2,14,1.153194848,0.8142503425,0.3962171429,0.1215697624,0.4168641745,0.8142503425,1.449908282,3.231450405
dense,block,2,2,15,1.181553326,0.8373524398,0.4090342857,0.1284624918,0.4321561247,0.8373524398,1.487018744,3.289210317
