instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_gcs_1m_raw_sum_bs,0.006231,3.067,3.072,9.436,0.0680,228,226,3.656,0.006437,2.122,4.501,-1.220,0.114,0.749,-1.402,0.000,1.0000,-0.259,7.754,9.728,0.883,19.034,4.528,2001-07,-0.520,WEAK
z_gcs_1m_raw_kilian_bs,0.007163,3.059,3.019,9.117,0.0566,228,226,2.903,0.008082,2.069,4.279,0.386,-0.380,0.673,-2.770,0.000,1.0000,-0.069,5.925,9.297,0.390,20.650,7.811,2001-07,-0.510,WEAK
z_gcs_1m_raw_kilianfix_bs,0.007175,2.928,2.911,8.474,0.0518,228,226,2.772,0.008316,2.002,4.007,0.783,-0.454,0.661,-2.895,0.000,1.0000,-0.011,5.160,8.122,0.289,21.323,7.044,2001-07,-0.454,WEAK
z_gcs_3m_sum_bs,0.006696,2.593,2.912,8.482,0.0756,228,226,3.589,0.006270,1.508,2.275,-2.119,-0.194,0.835,-0.173,0.000,1.0000,-0.181,15.761,6.997,0.532,17.898,2.531,2008-11,-0.664,WEAK
z_gcs_3m_kilian_bs,0.009974,3.211,3.775,14.250,0.1062,228,226,2.856,0.009744,1.988,3.951,-1.318,-0.872,0.814,-1.287,0.000,1.0000,-0.037,29.217,12.727,2.622,18.243,3.982,2008-11,-0.657,bias < 30%
z_gcs_3m_kilianfix_bs,0.010382,3.296,3.861,14.905,0.1055,228,226,2.733,0.010301,2.055,4.224,-1.080,-1.028,0.794,-1.425,0.000,1.0000,0.006,28.076,13.397,3.122,17.846,3.806,2008-11,-0.605,bias < 30%
z_gcs_1y_sum_bs,0.003559,2.449,2.497,6.234,0.0413,228,226,4.988,0.003283,1.557,2.423,-1.950,-0.433,1.009,-0.276,0.000,1.0000,-0.100,7.680,4.524,0.444,11.145,1.621,2008-07,-0.463,WEAK
z_gcs_1y_kilian_bs,0.005465,3.314,3.549,12.595,0.0695,228,226,4.215,0.005364,2.439,5.948,-1.297,-0.592,0.820,-0.737,0.000,1.0000,0.069,11.576,10.163,3.179,9.674,2.293,2011-08,0.516,bias < 30%
z_gcs_1y_kilianfix_bs,0.005598,3.270,3.599,12.955,0.0682,228,226,4.076,0.005586,2.468,6.093,-1.044,-0.682,0.767,-0.785,0.000,1.0000,0.106,11.828,10.447,3.673,9.065,2.344,2011-08,0.513,bias < 30%
z_gc_1m_adj_jk_sum_bs,0.004384,1.462,1.459,2.128,0.0137,228,205,2.334,0.002397,0.446,0.199,-1.595,-0.392,1.354,-1.202,0.000,1.0000,-0.134,5.620,0.498,0.219,23.248,3.621,2008-11,-0.712,WEAK
